"filename", "language", "C++", "CMake Cache", "CMake", "JSON", "Markdown", "Log", "Makefile", "C", "TypeScript", "comment", "blank", "total"
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeCache.txt", "CMake Cache", 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 67, 365
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/3.20.0-rc2/CMakeCCompiler.cmake", "CMake", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 18, 79
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/3.20.0-rc2/CMakeCXXCompiler.cmake", "CMake", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 20, 92
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/3.20.0-rc2/CMakeSystem.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/3.20.0-rc2/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 564, 0, 55, 125, 744
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/3.20.0-rc2/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 555, 0, 0, 0, 0, 0, 0, 0, 0, 57, 123, 735
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/CMakeError.log", "Log", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 23
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 27, 267
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/Makefile.cmake", "CMake", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/RT.dir/DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/CMakeFiles/RT.dir/cmake_clean.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
